"HGE Cosmic Schools","Kids $250k+",Address,"Metro Area","Prime Locations",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Lincoln Park",2684,"2301 N Clark St, Chicago, IL 60614 US","IL - Chicago",2,41.924131,-87.639196,1,rooftop,2301,"N Clark St",,,Chicago,IL,"Cook County",60614,US,"City of Chicago"
Lynnwood,1011,"5421 196th Place SW Lynnwood WA, 98036","WA - Seattle",,47.822137,-122.306981,1,rooftop,5421,"196th Pl SW",,,Lynnwood,WA,"Snohomish County",98036,US,"Snohomish County"
"Magnificent Mile",2563,"226 E Illinois St, Chicago, IL 60611 US","IL - Chicago",2,41.891143,-87.620867,1,range_interpolation,226,"E Illinois St",,,Chicago,IL,"Cook County",60611,US,"TIGER/Line® dataset from the US Census Bureau"
Mahwah,2059,"25 Edison Rd, Mahwah, NJ 07430","NJ - Newark",1,41.026459,-74.164253,1,rooftop,25,"Edison Rd",,,Mahwah,NJ,"Bergen County",07430,US,Bergen
Mansfield,2136,"2271 Matlock Rd, Mansfield, TX 76063","TX - Fort Worth",,32.596233,-97.109592,1,rooftop,2271,"Matlock Rd",,,Mansfield,TX,"Tarrant County",76063,US,"City of Mansfield"
Marietta,3061,"2358 Shallowford Road, Marietta, GA 30066","GA - Atlanta",,34.041094,-84.483423,1,rooftop,2358,"Shallowford Rd",,,Marietta,GA,"Cobb County",30066,US,"Cobb County"
Marlborough,943,"19 Forest St, Marlborough, MA 01752 US","MA - Boston",,42.333859,-71.570603,1,rooftop,19,"Forest St",,,Marlborough,MA,"Middlesex County",01752,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"Mill Valley",1747,"270 Miller Ave, Mill Valley, CA 94941","CA - Bay Area",,37.899875,-122.540202,1,rooftop,270,"Miller Ave",,,"Mill Valley",CA,"Marin County",94941,US,"Marin (Marin County)"
Montclair,3694,"3551 Waterway Dr, Montclair, VA 22025, US","DC - Washington DC",2,38.625254,-77.34677,1,rooftop,3551,"Waterway Dr",,,Dumfries,VA,"Prince William County",22025,US,"Prince William"
"North Chesterfield",1101,"601 Southlake Blvd, Richmond, VA 23236","VA - Richmond",,37.50053,-77.596453,1,rooftop,601,"Southlake Blvd",,,"North Chesterfield",VA,"Chesterfield County",23236,US,"Virginia Geographic Information Network (VGIN)"
"North Scottsdale",1614,"20624 N 76th St, Scottsdale, AZ 85255 US","AZ - Phoenix",,33.673103,-111.917246,1,rooftop,20624,"N 76th St",,,Scottsdale,AZ,"Maricopa County",85255,US,"City of Scottsdale"
"North Wales",1612,"467 N Sumneytown Pike, North Wales, PA 19454","PA - Philadelphia",,40.214362,-75.288352,1,range_interpolation,467,"N Sumneytown Pike",,,"North Wales",PA,"Montgomery County",19454,US,"TIGER/Line® dataset from the US Census Bureau"
"Oak Brook",4114,"1745 W 22nd St., Oak Brook, IL 60523","IL - Chicago",2,41.846703,-87.959602,0.9,range_interpolation,1745,"W 22nd St",,,"Oak Brook",IL,"Dupage County",60523,US,"TIGER/Line® dataset from the US Census Bureau"
"Old Town",2428,"311 W Division, Old Town Park, Chicago, IL 60610 US","IL - Chicago",2,41.903667,-87.636697,1,range_interpolation,311,"W Division St",,,Chicago,IL,"Cook County",60610,US,"TIGER/Line® dataset from the US Census Bureau"
"Palm Beach Gardens",1059,"353 Hiatt Drive, Palm Beach Gardens, FL 33418 US","FL - North Palm Beach",,26.810253,-80.133487,1,rooftop,353,"Hiatt Dr",,,"Palm Beach Gardens",FL,"Palm Beach County",33418,US,"Palm Beach (Public Domain Palm Beach County)"
"Palo Alto",4065,"930 Emerson St, Palo Alto, CA 94301 US","CA - Bay Area",,37.440876,-122.157548,1,rooftop,930,"Emerson St",,,"Palo Alto",CA,"Santa Clara County",94301,US,"Santa Clara (Santa Clara County)"
"Paradise Valley",1972,"4856 E. Greenway Road, Scottsdale, AZ 85254","AZ - Phoenix",,33.626492,-111.97552,1,rooftop,4856,"E Greenway Rd",,,Scottsdale,AZ,"Maricopa County",85254,US,Maricopa
Peoria,1259,"20565 Fletcher Way, Peoria, AZ 85382 US","AZ - Phoenix",,33.670339,-112.241046,1,rooftop,20565,"N Fletcher Way",,,Peoria,AZ,"Maricopa County",85382,US,Maricopa
"Plum Canyon",3325,"19141 Skyline Ranch Rd, Santa Clarita, CA 91350 US","CA - Los Angeles",,34.445108,-118.471401,1,rooftop,19141,"Skyline Ranch Rd",,,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County license to copy, publish, distribute and/or transmit the Data, to adapt the Data and to exploit the Data for commercial and/or personal use)"
"Princeton Meadows",2400,"666 Plainsboro Rd, Plainsboro Township, NJ 08536","NJ - Princeton",,40.327112,-74.574238,1,rooftop,666,"Plainsboro Rd",,,Plainsboro,NJ,"Middlesex County",08536,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
Prosperity,1264,"4755 Prosperity Church Rd, Charlotte, NC 28269 US","NC - Charlotte",,35.360631,-80.783366,1,rooftop,4755,"Prosperity Church Rd",,,Charlotte,NC,"Mecklenburg County",28269,US,Charlotte
